% Model:              hexGeModeAnalysisv2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 16 2024, 16:32
% Table:              Table 85 - data_to_export
% omega (GHz)                                     Out-of-plane wave number (rad/m)                  N^2 (m^2)                                         wxy (1)                                           wxz (1)                                           wyz (1)                                           mode (m^2)
0.65                                              823300.1723309017-2.7341646490422776E-8i          3.000001399007728                                 -1.635187270929758E-5+1.3041827315452742E-5i      -1.7012824616435533E-7-4.4160545047038334E-7i     -2.0547021773917454E-7+6.519295977311041E-8i      4
0.65                                              -823300.1723309017-2.7341646490422776E-8i         3.000001399007728                                 -1.635187270929758E-5-1.3041827315452742E-5i      -1.7012824616435533E-7+4.4160545047038334E-7i     -2.0547021773917454E-7-6.519295977311041E-8i      4
0.65                                              1510993.0341864268+1.65377449355169E-7i           2.9096531657969975                                -1.3927488396545294E8-98500.87858796098i          -5.587273063379918E-6+0.009144756096185378i       -2.2174435136212352E-5+0.03001152117596979i       6
0.65                                              -1510993.0341864268+1.65377449355169E-7i          2.9096531657969975                                -1.3927488396545294E8+98500.87858796098i          -5.587273063379918E-6-0.009144756096185378i       -2.2174435136212352E-5-0.03001152117596979i       6
0.65                                              9818246.614933593+5.426218234133849E-6i           2.9994342566995424                                -0.011954780918370904-2.711138518553244E-6i       -11224.246018450967+1.675803198541751E7i          0.028886747021453645-0.14218320982502758i         7
0.65                                              -9818246.614933593+5.426218234133849E-6i          2.9994342566995424                                -0.011954780918370904+2.711138518553244E-6i       -11224.246018450967-1.675803198541751E7i          0.028886747021453645+0.14218320982502758i         7
0.65                                              9832343.57672631+8.941776926020485E-6i            2.999270133405152                                 -0.05927013780104822+1.867157128296753E-5i        0.025322811690259527+0.05886977410532512i         6445.736053246282+1.6727602008914199E7i           8
0.65                                              -9832343.57672631+8.941776926020485E-6i           2.999270133405152                                 -0.05927013780104822-1.867157128296753E-5i        0.025322811690259527-0.05886977410532512i         6445.736053246282-1.6727602008914199E7i           8
0.7000000000000002                                886631.2470331271-2.071139158981395E-8i           3.0000016225282558                                6.285109575915484E-5+6.4643377294332015E-6i       -2.635044734896681E-7+1.3871053353065969E-7i      2.2271799980040004E-7-6.509307202522367E-8i       4
0.7000000000000002                                -886631.2470331271-2.071139158981395E-8i          3.0000016225282558                                6.285109575915484E-5-6.4643377294332015E-6i       -2.635044734896681E-7-1.3871053353065969E-7i      2.2271799980040004E-7+6.509307202522367E-8i       4
0.7000000000000002                                1627222.7375743967+2.2186675168805038E-7i         2.909652780441085                                 -1.3927476321257862E8-106073.15200218432i         -6.784237712662867E-6+0.009918711552349451i       -2.527710354103944E-5+0.03226038101462056i        6
0.7000000000000002                                -1627222.7375743967+2.2186675168805038E-7i        2.909652780441085                                 -1.3927476321257862E8+106073.15200218432i         -6.784237712662867E-6-0.009918711552349451i       -2.527710354103944E-5-0.03226038101462056i        6
0.7000000000000002                                1.0194296838144805E7-2.001193157480896E-6i        2.999391863018243                                 -0.012894010878686586-6.730004217301018E-6i       -12066.797421336043+1.7380554859106813E7i         -0.0029350342049373665-0.09546910645145798i       7
0.7000000000000002                                -1.0194296838144805E7-2.001193157480896E-6i       2.999391863018243                                 -0.012894010878686586+6.730004217301018E-6i       -12066.797421336043-1.7380554859106813E7i         -0.0029350342049373665+0.09546910645145798i       7
0.7000000000000002                                1.0210051946549738E7-1.0733591558032148E-6i       2.9992154923116146                                -0.06411116891899042+3.103239087309754E-5i        -0.0027578244194612473+0.12120043422127255i       6924.150027739784+1.7346660957449444E7i           8
0.7000000000000002                                -1.0210051946549738E7-1.0733591558032148E-6i      2.9992154923116146                                -0.06411116891899042-3.103239087309754E-5i        -0.0027578244194612473-0.12120043422127255i       6924.150027739784-1.7346660957449444E7i           8
0.75                                              949962.3866186924-1.4660428806306927E-7i          3.000001862609074                                 -1.2715317657975483E-5+1.8895375267575364E-5i     -2.0652133145113659E-7+4.644806771700883E-7i      -1.6189944696099436E-7+2.561380921668281E-7i      4
0.75                                              -949962.3866186924-1.4660428806306927E-7i         3.000001862609074                                 -1.2715317657975483E-5-1.8895375267575364E-5i     -2.0652133145113659E-7-4.644806771700883E-7i      -1.6189944696099436E-7-2.561380921668281E-7i      4
0.75                                              1743452.3231808082-4.965099961913455E-7i          2.9096523665378804                                -1.3927463351716962E8-113644.38034538191i         -8.784937909826372E-6+0.010592660252667464i       -2.773512668084936E-5+0.0345770253350121i         6
0.75                                              -1743452.3231808082-4.965099961913455E-7i         2.9096523665378804                                -1.3927463351716962E8+113644.38034538191i         -8.784937909826372E-6-0.010592660252667464i       -2.773512668084936E-5-0.0345770253350121i         6
